Acc_x,Acc_y,Acc_z,Gyro_X,Gyro_Y,Gyro_Z,Label,Semantic_Interpretation
-5.958191,0.6880646,8.135345,0.013748169,-0.00062561,-0.023376465,Standing,"**General description:** Standing is a static posture maintained through minor balance adjustments. **Accelerometer patterns:** nearly constant readings with low-frequency sway; very low signal amplitude. **Gyroscope patterns:** minimal angular velocity reflecting fine balance control. **Body parts involved:** calves, ankles, and core muscles stabilize the body; glutes maintain alignment."
-5.95224,0.6702118,8.136536,0.014816284,-0.001693726,-0.02230835,Standing,"**General description:** Standing is a static posture maintained through minor balance adjustments. **Accelerometer patterns:** nearly constant readings with low-frequency sway; very low signal amplitude. **Gyroscope patterns:** minimal angular velocity reflecting fine balance control. **Body parts involved:** calves, ankles, and core muscles stabilize the body; glutes maintain alignment."
-5.9950867,0.6535492,8.204376,0.0158844,-0.001693726,-0.021240234,Standing,"**General description:** Standing is a static posture maintained through minor balance adjustments. **Accelerometer patterns:** nearly constant readings with low-frequency sway; very low signal amplitude. **Gyroscope patterns:** minimal angular velocity reflecting fine balance control. **Body parts involved:** calves, ankles, and core muscles stabilize the body; glutes maintain alignment."
-5.9427185,0.6761627,8.128204,0.016952515,-0.003829956,-0.02017212,Standing,"**General description:** Standing is a static posture maintained through minor balance adjustments. **Accelerometer patterns:** nearly constant readings with low-frequency sway; very low signal amplitude. **Gyroscope patterns:** minimal angular velocity reflecting fine balance control. **Body parts involved:** calves, ankles, and core muscles stabilize the body; glutes maintain alignment."
-5.991516,0.64164734,8.135345,0.0158844,-0.007034302,-0.02017212,Standing,"**General description:** Standing is a static posture maintained through minor balance adjustments. **Accelerometer patterns:** nearly constant readings with low-frequency sway; very low signal amplitude. **Gyroscope patterns:** minimal angular velocity reflecting fine balance control. **Body parts involved:** calves, ankles, and core muscles stabilize the body; glutes maintain alignment."
-5.965332,0.6297455,8.128204,0.014816284,-0.009170532,-0.02230835,Standing,"**General description:** Standing is a static posture maintained through minor balance adjustments. **Accelerometer patterns:** nearly constant readings with low-frequency sway; very low signal amplitude. **Gyroscope patterns:** minimal angular velocity reflecting fine balance control. **Body parts involved:** calves, ankles, and core muscles stabilize the body; glutes maintain alignment."
-5.991516,0.6356964,8.16272,0.011611939,-0.013442993,-0.02230835,Standing,"**General description:** Standing is a static posture maintained through minor balance adjustments. **Accelerometer patterns:** nearly constant readings with low-frequency sway; very low signal amplitude. **Gyroscope patterns:** minimal angular velocity reflecting fine balance control. **Body parts involved:** calves, ankles, and core muscles stabilize the body; glutes maintain alignment."
-5.915344,0.63093567,8.105591,0.011611939,-0.014511108,-0.021240234,Standing,"**General description:** Standing is a static posture maintained through minor balance adjustments. **Accelerometer patterns:** nearly constant readings with low-frequency sway; very low signal amplitude. **Gyroscope patterns:** minimal angular velocity reflecting fine balance control. **Body parts involved:** calves, ankles, and core muscles stabilize the body; glutes maintain alignment."
-5.984375,0.6940155,8.067505,0.009475708,-0.016647339,-0.02230835,Standing,"**General description:** Standing is a static posture maintained through minor balance adjustments. **Accelerometer patterns:** nearly constant readings with low-frequency sway; very low signal amplitude. **Gyroscope patterns:** minimal angular velocity reflecting fine balance control. **Body parts involved:** calves, ankles, and core muscles stabilize the body; glutes maintain alignment."
-5.937958,0.71543884,8.090118,0.010543823,-0.016647339,-0.021240234,Standing,"**General description:** Standing is a static posture maintained through minor balance adjustments. **Accelerometer patterns:** nearly constant readings with low-frequency sway; very low signal amplitude. **Gyroscope patterns:** minimal angular velocity reflecting fine balance control. **Body parts involved:** calves, ankles, and core muscles stabilize the body; glutes maintain alignment."
